Нөгөө талаар Хөвсгөлийн байгалийн цогцолбор газарт нэвтрэхэд 1,000 төгрөг авдаг .	Нөгөө тал @аар Хөвсгөл @ийн байгал @ийн цогцолох @бор газар @т нэвтрэх @д 1,000 төгрөг авах @даг .
Тэгвэл нэгэн хачирхалтай мэдээллийг бид олж авлаа .	Тэгвэл нэг @@н хачин @@рхал @@тай мэдээ @@л @@л @@ийг би @@д олох @@ж авах @@лаа .
Үүнд, Улс орны шагнал мөн Дэлхийн мөнгөний долоо хоногийн гэсэн ангилалтай байдаг .	Үүнд , Улс орон @@ны шан @@гна @@л мөн Дэлхий @@ийн мөнгө @@ний долоо хоног @@ийн гэх @@сэн анги @@л @@л @@тай байх @@даг .
Шагналын сан 10,000 америк доллар .	Шан @@гна @@л @@ын сан 10,000 америк доллар .
Ламын гэгээний VIII дүрээр 2009 онд тодорсноос хойш та эх нутгаасаа хол 10 гаруй жил бурхны ном үзлээ .	Лам @@ын гэгээ @@ний VIII дүр @@ээр 2009 он @@д тод @@р @@сон @@оос хойно @@ш та эх нутаг @@аа @@саа хол 10 гаруй жил бурхан @@ны ном үзэх @@лээ .
Энэ мөнгөөр өч төчнөөн сургууль, эмнэлэг байгуулж болно .	Энэ мөнгө @@өөр өч төчнөөн сургах @@ууль , эм @@нэ @@лэг байх @@уулах @@ж болох @@но .
Барилдахын өмнө Сумъяа эгч ирээд , гар барьж өгсөн .	Барих @@лдах @@ын өмнө Сумъяа эгч ирэх @@ээд , гар барих @@ж өгөх @@сөн .
Тэрээр 140 кг жинтэй ачаа чирж , Цельсийн -30-аас бага хэмийн хүйтэнд зөвхөн шоколад , самар , бяслаг , салямигаар хооллон аялжээ .	Тэр @@ээр 140 кг жин @@тэй ачаа чирэх @@ж , Цельс @@ийн -30 аас бага хэм @@ийн хүйтэн @@д зөвхөн шоколад , самар, бяслаг, салями @@аар хоол @@л @@н аялах @@жээ .
Яагаад гэвэл 240 тэрбумын цэвэр ашигтай ажиллах гэж ЗГ-аас , Төв Банкнаас 600-700 тэрбум төгрөг авчихсан .	Яагаад гэвэл 240 тэрбум @@ын цэвэр ашиг @@тай ажил @@л @@х гэж ЗГ @@аас , Төв Банк @@аас 600-700 тэрбум төгрөг авах @@чих @@сан .
Гэвч харин хүүхдүүдэд бодит амьдрал дээр хэн , юу дутагдаж байна вэ гэдэг асуултыг Танаас би асууя .	Гэвч харин хүү @@хэд @@үүд @@д бодит амь @@д @@рал дээр хэн , юу дутах @@гд @@х @@ж байх @@на вэ гэх @@дэг асуух @@лт @@ыг Та @@аас би асуух @@я .
Мөн нэг бетон тулгуур м урт , 5.5 тонн жинтэй учраас зориулалтын тээвэрлэлтийн машин техник шаардлагатай .	Мөн нэг бетон тулгуур м урт , 5.5 тонн жин @@тэй учир @@аас зорь @@х @@уулах @@лт @@ын тээх @@вэр @@л @@лт @@ийн машин техник шаардах @@лга @@тай .
Гэмгүй иргэдийн сулла , шударга ёсыг тогтоох гэснийх нь төлөө Ц.Нямдорж руу байдгаараа дайрч байна .	Гэм @@гүй иргэн @@д @@ийн сул @@л , шударга ёс @@ыг тогтоох гэх @@сэн @@ийх нь төлөө Ц.Нямдорж руу байх @@даг @@аа @@раа дайрах @@ч байх @@на .
2012 оноос хойш агаарын навигацийн үйлчилгээ дэвшингүй хөгжилд хүрч байна .	2012 он @@оос хойно @@ш агаар @@ын навигац @@ийн үйл @@чил @@гээ дэв @@ш  @@нгүй хөгжих @@л @@д хүрэх@@ ч байх @@на .
Анх 15 настайдаа анхны хайрынхаа нэрийг хөлөн дээрээ шивүүлсэн ч сүүлд арилгуулсан .	Анх 15 нас @@тай @@даа анх @@ны хайр @@ын @@хаа нэр @@ийг хөл @@н дээр @@ээ шивэх @@үүлэх  @@сэн ч сүүл @@д арилгах @@уулах @@сан .
Дараа нь ганцаараа ая сонсоод сууж байхдаа бичсэн үгээ гаргаж ирээд баяжуулж бүтээл болгоно .	Дараа нь ганц @@аар @@аа ая сонсох @@оод суух @@ж байх @@даа бичих @@сэн үг @@ээ гарах @@х @@ж ирэх @@д баян @@ж @@уул @@ж бүтэх  @@ээл болох @@х @@но .  
Ямар ч байсан киноныхоо ард гарчхаад нээлтээ хүлээгээд, айгаад л сууж байна .	Ямар ч байх @@сан кино @@ны @@оо ард гарах @@чих @@аад нээх @@лт @@ээ хүлээх гэх @@ээд , айх @@аад л суух @@ж байх @@на .
Угтаа мартах аргагүй үнэн бол энэ .	Уг @@таа мартах арга @@гүй үнэн бол энэ .
Үндэсний бөхөөр барилдаж байгаа улсын цолтнууд .	Үндэс @@ний бөх @@өөр барих @@лдах @@ж байх @@аа улс @@ын цол @@тон @@ууд .
Ингэхдээ Зөвлөлт холбоот улсын дагагч улс бус харин бие даасан хүчний үүргээр оролцсон байдаг .	Ингэх @@дээ Зөв @@лөх @@лт холбох @@оо @@т улс @@ын дагах @@гч улс бус харин бие даах @@сан хүч @@ний үүрэг @@ээр орох @@лцох @@сон байх @@даг .
Тэмцээнд насанд хүрэгчид буюу 18-аас дээш настай, шатрын спортын зэрэг, цолгүй, сонирхогч тамирчид өрсөлддөг .	Тэмцэх @@ээн @@д нас @@нд хүрэх @@гч @@д буюу 18-аас дээш нас @@тай , шатар @@ын спорт @@ын зэрэг , цол @@гүй, сонин @@рх @@гч тамир @@чин @@д өрсөх @@лд @@дөг .
Хотын төв замуудын уулзвар нь ашиглалтад орсноос хойш өргөтгөл шинэчлэлийн ажил хийж байгаагүй .	Хот @@ын төв зам @@ууд @@ын уулзах @@вар нь ашиг @@л @@лт @@д орох @@сон @@оос хойно @@ш өргөх @@тгөх @@л шинэ @@чил @@лэл @@ийн ажил хийх  байх @@гаа @@гүй .
Монголын цагдаагийн албанд ажиллаж байгаа хурандаа хүн ийм зүйл хийж байна гэх буруу мэдээлэл бусдад хүрвэл ёстой аюултай зүйл болно .	Монгол @@ын цагдаа @@ийн алба @@д ажил @@л @@ж байх @@гаа хурандаа хүн ийм зүйл хийх @@ж байх @@на гэх буруу мэдээ @@лэх @@л бусад @@д хүрэх @@вэл ёс @@той аюул @@тай зүйл болох @@но .
Би бүр гарынх нь шавь .	Би бүр гар @@ынх нь шавь .
Ховор сонин тохиолдлын талаар мэдээлэл тарсны дараа Кондор компаниас тайлбар мэдэгдэл гаргажээ .	Ховор сонин тохиох @@л @@д @@л @@ын тал @@аар мэдээ @@л @@л тарах @@сан @@ны дараа Кондор компани @@аас тайлах @@бар мэдэх @@гд @@л гаргах @@жээ .
Үүнийгээ Засгийн газар мэдэж шийдвэр гаргасан байлгүй дээ .	Үүнийг @@ээ Засаг @@ийн газар мэдэх @@ж шийдэх @@вэр гаргах @@сан байх  @@лгүй дээ .
Үүний нэг нь л Хустайн байгалийн цогцолборт газар .	Үүний нэг нь л Хустай @@ын байгаль @@ийн цогц @@лбор @@т газар .
Чөлөөт радикал нь агаарын бохирдол , нарны хэт ягаан туяа, химийн хортой нэгдлүүдийн нөлөөгөөр ихэвчлэн үүсдэг .	Чөлөө @@т радикал нь агаар @@ын бохир @@дол , нар @@ны хэт ягаан туяа , хими @@ийн хор @@той нэг @@дэх @@л @@үүд @@ийн нөлөө @@өөр их @@вч @@лэн үүсэх @@дэг .
Архангайн Хашаат дээр ийм тохиолдол гарсан .	Архангай @@н Хашаат дээр ийм тохиох @@л @@д @@л гарах @@сан .
Шүүн таслах ажиллагааны төсвийг өмнөх жилийн төсвийн хэмжээнээс бууруулахыг хориглоно .	Шүүх @@н таслах ажил @@л @@гаа @@ны төсөв @@ийг өмнө @@х жил @@ийн төсөв @@ийн хэм @@жээ @@ээс буурах @@уулах @@ыг хорих @@г @@л @@но .
Үйлдэж байхад нь баривчлах боломжгүй учраас бүрэн эрхийг нь түдгэлзүүлэх боломжгүй байгаа юм .	Үйл @@дэх @@ж байх @@д нь барих @@вч @@л @@х болох @@мж @@гүй учир @@аас бүрэн эрх @@ийг нь түдгэлзэх @@үүлэх болох @@мж @@гүй байх @@гаа юм .
Пёньяны ойролцоох Сунанаас харвасан пуужин Японы хойд Хоккайдо арлын дээгүүр нисэн , Номхон Далайн хойд бүсэд туссан байна .	Пёнья @@ны ойр @@лцоо @@х Сунана @@аас харвах @@сан пуужин Япон @@ны хойно @@д Хоккайдо арал @@ын дээр @@гүүр нисэх @@ийн , Номхон Далай @@н хойно @@д бүс @@д тусах @@сан байх @@на .
Энэ оны эхний улирлын байдлаар 93 мянган зээлдэгч 4.3 их наяд төгрөгийн зээл авсан байна .	Энэ он @@ы эх @@ний улирал @@ын байх @@дал @@аар 93 мянга @@ын зээл @@дэх @@гч 4.3 их наяд төгрөг @@ийн зээл авах @@сан байх @@на .
