Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
Řekl jsem , ať používají vozidla za stejných podmínek , a teprve pak bude možné hovořit o objektivním srovnání .	Řek @@l js @@em , ať pou @@ží @@v @@aj @@í voz @@i @@dl @@a za stejn @@ých pod @@mín @@ek , a teprv @@e pak bud @@e možn @@é hovoř @@i @@t o ob @@jekt @@iv @@n @@í @@m s @@rovn @@á @@n @@í .
Nedomnívám se , že naše vozidla jsou úplně v pořádku a že na nich nechceme nic měnit .	Ne @@do @@mn @@í @@v @@á @@m s @@e , že n @@a @@š @@e voz @@i @@dl @@a js @@ou ú @@pln @@ě v po @@řád @@k @@u a že na n @@i @@ch ne @@chc @@e @@me nic měn @@i @@t .
Pokračujeme na zlepšování kvality .	Po @@krač @@uje @@me na z @@lep @@š @@ová @@n @@í kval @@it @@y .
Ale nechci souhlasit , že by tatra byla méně kvalitní vůz než jiné západní vozy .	Ale ne @@chc @@i sou @@hlas @@i @@t , že by tatr @@a by @@l @@a mén @@ě kval @@it @@n @@í vůz než jin @@é zá @@pad @@n @@í voz @@y .
* Ale jestliže motor vydrží polovinu toho , co jiné části , musí to uživatelům působit potíže .	* Ale jest @@li @@že motor vy @@drž @@í pol @@ovin @@u t @@o @@ho , c @@o jin @@é část @@i , mus @@í t @@o u @@ži @@v @@a @@tel @@ům pů @@sob @@i @@t po @@tíž @@e .
I na Západě je běžné , že životnost celého vozidla je vyšší než životnost motoru .	I na Zá @@pad @@ě je běž @@n @@é , že ži @@v @@ot @@n @@ost cel @@é @@ho voz @@i @@dl @@a je vyš @@š @@í než ži @@v @@ot @@n @@ost motor @@u .
Ale přes to všechno jsme začali nabízet tatry s motory , které nejsou tatrovácké .	Ale přes t @@o vš @@ech @@n @@o js @@me za @@č @@a @@l @@i na @@bíz @@e @@t tatr @@y s motor @@y , kter @@é ne @@js @@ou tatr @@ovác @@k @@é .
Má - li zákazník zájem , může si už teď koupit tatru s motorem Deutz z Německa .	M @@á - li zá @@kaz @@ník zá @@jem , můž @@e s @@i už teď koup @@i @@t tatr @@u s motor @@em Deutz z Něm @@ec @@k @@a .
Kromě toho jsme ukončili práce umožňující použít další západní motor a v této praxi budeme pokračovat .	Krom @@ě t @@o @@ho js @@me u @@konč @@i @@l @@i prác @@e u @@možň @@uj @@íc @@í po @@u @@ží @@t dal @@š @@í zá @@pad @@n @@í motor a v t @@é @@to prax @@i bud @@e @@me po @@krač @@ova @@t .
* Je zájem o takto modifikované tatry ?	* Je zá @@jem o tak @@t @@o modi @@fik @@ova @@n @@é tatr @@y ?
Je především v Německu .	Je přede @@vš @@í @@m v Něm @@ec @@k @@u .
A právě kontaktujeme zákazníky v jiných zemích , abychom zjistili , zda bude zájem o aplikaci s dalším motorem .	A práv @@ě kontakt @@uje @@me zá @@kaz @@ník @@y v jin @@ý @@ch zem @@í @@ch , a @@by @@chom z @@jist @@i @@l @@i , zda bud @@e zá @@jem o aplik @@ac @@i s dal @@š @@í @@m motor @@em .
Kromě toho se snažíme o něco opačného .	Krom @@ě t @@o @@ho s @@e snaž @@í @@me o ně @@c @@o o @@pač @@n @@ého .
Navrhujeme Kamazu , aby zvážil možnost dodávek některého jejich vozidla s motorem Tatra .	Na @@vrh @@uje @@me Kamaz @@u , aby z @@váž @@i @@l mož @@n @@ost do @@dá @@v @@ek ně @@kter @@ého je @@j @@i @@ch voz @@i @@dl @@a s motor @@em Tatr @@a .
* Dalším z vašich prioritních úkolů bylo dát v Tatře do pořádku cash flow .	* Dal @@š @@í @@m z v @@a @@š @@i @@ch prior @@it @@n @@ích úkol @@ů by @@l @@o d @@á @@t v Tatř @@e do po @@řád @@k @@u cash flow .
Podle našich informací se to podařilo .	Po @@dle n @@a @@š @@i @@ch in @@form @@ac @@í s @@e t @@o po @@dař @@i @@l @@o .
Jak ?	Jak ?
Šlo o vyškolení našich lidí .	Š @@l @@o o vy @@škol @@en @@í n @@a @@š @@i @@ch lid @@í .
V minulosti Tatra kupovala víc zásob , než potřebovala ke svému provozu .	V mi @@nu @@l @@ost @@i Tatr @@a kup @@ova @@l @@a víc zá @@sob , než po @@třeb @@ova @@l @@a ke s @@v @@é @@mu pro @@voz @@u .
Teď si lidé uvědomili , že čím nižší zásoby , tím lepší je cash flow i kvalita vozidla .	Teď s @@i lid @@é u @@věd @@om @@i @@l @@i , že č @@í @@m niž @@š @@í zá @@sob @@y , t @@ím lep @@š @@í je cash flow i kval @@it @@a voz @@i @@dl @@a .
Stali jsme se mnohem průraznější při vymáhání našich pohledávek .	Sta @@l @@i js @@me s @@e mnoh @@e @@m prů @@raz @@n @@ějš @@í při vy @@máh @@á @@n @@í n @@a @@š @@i @@ch po @@hled @@áv @@ek .
Sjednali jsme lepší platební podmínky s našimi dodavateli .	S @@jedn @@a @@l @@i js @@me lep @@š @@í plat @@eb @@n @@í pod @@mín @@k @@y s n @@a @@š @@i @@m @@i do @@d @@a @@v @@a @@tel @@i .
Možná úplně nejdůležitější pro zlepšení cash flow bylo zavedení nových pravidel pro přijímání objednávek .	Mož @@ná ú @@pln @@ě nej @@dů @@lež @@it @@ějš @@í pro z @@lep @@š @@en @@í cash flow by @@l @@o za @@ved @@en @@í nov @@ých prav @@i @@del pro při @@jím @@á @@n @@í ob @@jedn @@á @@v @@ek .
Do výroby už nevezmeme objednávku , nejsme - li si jisti , že bude zaplacena .	Do vý @@rob @@y už ne @@vez @@me @@me ob @@jedn @@á @@v @@k @@u , ne @@js @@me - li s @@i jist @@i , že bud @@e za @@plac @@en @@a .
* Když jste přišli do Tatry , prakticky neexistovala žádná její tržní strategie .	* Když js @@te při @@š @@l @@i do Tatr @@y , prakt @@ic @@k @@y ne @@exist @@ova @@l @@a žád @@n @@á je @@j @@í trž @@n @@í strategie .
Teď už máte jasno ?	Teď už m @@á @@te jas @@n @@o ?
Ano .	Ano .
Budeme prodávat oprávněným distributorům .	Bud @@e @@me pro @@d @@á @@v @@a @@t o @@práv @@n @@ěn @@ým dis @@tribu @@t @@or @@ům .
S nimi uzavřeme jasný kontrakt , v němž budou uvedeny naše i jejich povinnosti .	S n @@i @@m @@i u @@za @@vř @@e @@me jas @@n @@ý kontrakt , v n @@ě @@m @@ž bud @@ou u @@ved @@en @@y n @@a @@š @@e i je @@j @@i @@ch po @@vin @@n @@ost @@i .
Jinou důležitou částí naší marketingové strategie je zlepšit naši pozici na tradičních trzích .	Jin @@ou dů @@lež @@it @@ou část @@í n @@a @@š @@í market @@ing @@ov @@é strategie je z @@lep @@š @@i @@t n @@a @@š @@i pozic @@i na trad @@ič @@n @@ích trz @@ích .
Souběžně budeme rozvíjet distribuci na nových trzích , abychom po několika letech měli vyváženou distribuční síť .	Sou @@běž @@n @@ě bud @@e @@me roz @@víj @@e @@t dis @@tribu @@c @@i na nov @@ých trz @@ích , a @@by @@chom po ně @@kolik @@a let @@e @@ch mě @@l @@i vy @@váž @@en @@ou dis @@tribu @@č @@n @@í síť .
V minulých dvou měsících jsme podepsali dohody s distributory v Kolumbii , Chile , Bolívii , Belgii a v šesti dalších zemích jednáme .	V mi @@nu @@l @@ých dv @@ou měsíc @@ích js @@me pode @@ps @@a @@l @@i do @@hod @@y s dis @@tribu @@t @@or @@y v Kolumbi @@i , Chile , Bolív @@i @@i , Belgi @@i a v šest @@i dal @@š @@í @@ch zem @@í @@ch jedn @@á @@me .
Připravujeme také první distribuční dohodu na Aljašce a během krátké doby zahájíme jednání s obchodní skupinou v Mexiku .	Při @@prav @@uje @@me také prv @@n @@í dis @@tribu @@č @@n @@í do @@hod @@u na Aljašc @@e a běh @@em krát @@k @@é dob @@y za @@háj @@í @@me jedn @@á @@n @@í s ob @@chod @@n @@í s @@kup @@in @@ou v Mexik @@u .
* Tatra má výrobní kapacitu kolem 15000 automobilů ročně .	* Tatr @@a m @@á vý @@rob @@n @@í kapacit @@u kol @@em 15000 auto @@mobil @@ů roč @@n @@ě .
Ukazuje se však , že tak velké množství trh zřejmě není schopen absorbovat .	U @@kaz @@uje s @@e však , že tak vel @@k @@é množství trh zř @@ejm @@ě není s @@chop @@en ab @@sorb @@ova @@t .
Nejdříve jsme učinili určité kroky ke snížení výrobních nákladů , abychom mohli být zdravá společnost při nižších prodejích .	Nej @@dřív @@e js @@me u @@čin @@i @@l @@i urč @@it @@é krok @@y ke s @@níž @@en @@í vý @@rob @@n @@ích ná @@klad @@ů , a @@by @@chom moh @@l @@i bý @@t zdrav @@á společ @@n @@ost při niž @@š @@ích pro @@d @@ej @@ích .
Jestliže budeme moci vyrábět a prodávat zhruba 600 vozidel za měsíc , budeme zdravá společnost .	Jest @@li @@že bud @@e @@me moc @@i vy @@ráb @@ě @@t a pro @@d @@á @@v @@a @@t z @@hrub @@a 600 voz @@i @@del za měsíc , bud @@e @@me zdrav @@á společ @@n @@ost .
Ale máme produkční schopnost vyrábět možná 1500 aut měsíčně , ne - li více .	Ale m @@á @@me pro @@duk @@č @@n @@í s @@chop @@n @@ost vy @@ráb @@ě @@t mož @@ná 1500 aut měsíč @@n @@ě , ne - li více .
Kdybychom je mohli prodat , tak bychom je dokázali vyrobit .	Kd @@y @@by @@chom je moh @@l @@i pro @@d @@a @@t , tak by @@chom je do @@káz @@a @@l @@i vy @@rob @@i @@t .
Takže se snažíme rozšířit prodej do více zemí , rozšířit nabídku výrobků pro různá použití a uvidíme .	Tak @@že s @@e snaž @@í @@me roz @@šíř @@i @@t pro @@d @@e @@j do více zem @@í , roz @@šíř @@i @@t na @@bíd @@k @@u vý @@rob @@k @@ů pro různ @@á po @@u @@ži @@tí a u @@vid @@í @@me .
* Přesto - jaký je prodejní potenciál Tatry ?	* Přes @@t @@o - jak @@ý je pro @@d @@ej @@n @@í potenc @@iál Tatr @@y ?
Těch 15000 aut ročně to zřejmě nebude .	T @@ě @@ch 15000 aut roč @@n @@ě t @@o zř @@ejm @@ě ne @@bud @@e .
Já myslím , že za tři roky i těch patnáct tisíc bude možných .	Já mysl @@í @@m , že za tř @@i rok @@y i t @@ě @@ch pat @@náct tisíc bud @@e mož @@n @@ý @@ch .
Tatra se totiž může stát dominantním výrobkem pro použití v zemích , kde nejsou silnice .	Tatr @@a s @@e totiž můž @@e stá @@t domin @@ant @@n @@ím vý @@rob @@k @@em pro po @@u @@ži @@tí v zem @@í @@ch , kd @@e ne @@js @@ou sil @@n @@ic @@e .
Ekonomika těchto zemí se začíná zlepšovat .	Eko @@nom @@ik @@a t @@ě @@ch @@t @@o zem @@í s @@e za @@č @@í @@n @@á z @@lep @@š @@ova @@t .
Začínáme s přípravou prodeje našeho vozidla také ve Spojených státech amerických .	Za @@č @@ín @@á @@me s pří @@prav @@ou pro @@d @@ej @@e n @@a @@š @@e @@ho voz @@i @@dl @@a také ve S @@poj @@en @@ých stát @@ech americ @@k @@ých .
* Říkal jste , že Tatra bude zdravá při prodeji zhruba 600 vozidel měsíčně .	* Řík @@a @@l js @@te , že Tatr @@a bud @@e zdrav @@á při pro @@d @@ej @@i z @@hrub @@a 600 voz @@i @@del měsíč @@n @@ě .
Teď však prodáváte kolem 300 měsíčně .	Teď však pro @@d @@á @@v @@á @@te kol @@em 300 měsíč @@n @@ě .
Ano , ale nejsme zdraví .	Ano , ale ne @@js @@me zdrav @@í .
* Zůstaneme - li u tohoto přirovnání , jste blíže uzdravení , nebo smrti ?	* Z @@ů @@sta @@ne @@me - li u t @@o @@ho @@t @@o při @@rovn @@á @@n @@í , js @@te blíže u @@zdrav @@en @@í , nebo s @@mr @@t @@i ?
Vloni , když jsem sem poprvé přijel , jsem slyšel , že máme dostatek objednávek na výrobu 600 vozidel měsíčně .	V @@lon @@i , když js @@em sem po @@prv @@é při @@je @@l , js @@em slyš @@e @@l , že m @@á @@me do @@sta @@t @@ek ob @@jedn @@á @@v @@ek na vý @@rob @@u 600 voz @@i @@del měsíč @@n @@ě .
Když jsme však začali trvat na tom , abychom přijímali objednávky pouze od zákazníků , kteří jsou schopni zaplatit , počet objednávek se začal snižovat .	Když js @@me však za @@č @@a @@l @@i trv @@a @@t na t @@o @@m , a @@by @@chom při @@jím @@a @@l @@i ob @@jedn @@á @@v @@k @@y pouz @@e od zá @@kaz @@ník @@ů , kteř @@í js @@ou s @@chop @@n @@i za @@plat @@i @@t , po @@čet ob @@jedn @@á @@v @@ek s @@e za @@č @@a @@l s @@niž @@ova @@t .
Jednou z našich potřeb je seznámit s našimi výrobky zákazníky , kteří mají peníze .	Jedn @@ou z n @@a @@š @@i @@ch po @@třeb je se @@znám @@i @@t s n @@a @@š @@i @@m @@i vý @@rob @@k @@y zá @@kaz @@ník @@y , kteř @@í m @@aj @@í peníz @@e .
Dost brzy musíme buď uspět , získat více zákazníků , anebo snížit náklady tak , abychom byli zdraví při výrobě méně než 600 aut měsíčně .	Dost brzy mus @@í @@me buď u @@spě @@t , získ @@a @@t více zá @@kaz @@ník @@ů , a @@nebo s @@níž @@i @@t ná @@klad @@y tak , a @@by @@chom by @@l @@i zdrav @@í při vý @@rob @@ě mén @@ě než 600 aut měsíč @@n @@ě .
Doufám , že se nám podaří zvýšit prodej .	Douf @@á @@m , že s @@e n @@á @@m po @@dař @@í z @@výš @@i @@t pro @@d @@e @@j .
* Když jste přišli do Tatry , mnozí připouštěli možnost bankrotu Tatry .	* Když js @@te při @@š @@l @@i do Tatr @@y , mnoz @@í při @@poušt @@ě @@l @@i mož @@n @@ost bank @@rot @@u Tatr @@y .
Na jak dlouho je toto nebezpečí podle vás zažehnáno ?	Na jak dlouh @@o je t @@o @@t @@o ne @@bezpeč @@í po @@dle v @@á @@s za @@žehn @@á @@n @@o ?
Nikdy jsem se nechtěl účastnit diskusí o bankrotu .	Ni @@kd @@y js @@em s @@e ne @@cht @@ě @@l ú @@čast @@n @@i @@t diskus @@í o bank @@rot @@u .
Bankrot není dobrá alternativa pro zákazníky , pro zaměstnance ani pro banky .	Bank @@rot není dobr @@á alter @@n @@at @@iv @@a pro zá @@kaz @@ník @@y , pro za @@měst @@n @@an @@c @@e ani pro bank @@y .
* Jak probíhá vývoj nového modelu nákladní tatry ?	* Jak pro @@bíh @@á vý @@voj nov @@é @@ho model @@u ná @@klad @@n @@í tatr @@y ?
Jsem velice potěšen schopnostmi našich techniků .	Js @@em vel @@ic @@e po @@těš @@en s @@chop @@n @@ost @@mi n @@a @@š @@i @@ch techn @@ik @@ů .
Mile mě překvapilo , když jsem zjistil , jak daleko jsou vývojové práce .	Mil @@e m @@ě pře @@kvap @@i @@l @@o , když js @@em z @@jist @@i @@l , jak dal @@ek @@o js @@ou vý @@voj @@ov @@é prác @@e .
Ale nejdříve musíme posílit prodej a marketing .	Ale nej @@dřív @@e mus @@í @@me po @@síl @@i @@t pro @@d @@e @@j a market @@ing .
* Počítá se s nějakou zásadnější koncepční změnou ?	* Po @@čít @@á s @@e s ně @@jak @@ou zá @@sad @@n @@ějš @@í koncepč @@n @@í z @@měn @@ou ?
Připravujeme nová vozidla na rok 1996 .	Při @@prav @@uje @@me nov @@á voz @@i @@dl @@a na rok 1996 .
Zaujal jsem stanovisko , že prioritou číslo jedna je udržet se v těch tržních kategoriích , kde jsme .	Za @@u @@j @@a @@l js @@em stan @@ov @@isk @@o , že prior @@it @@ou čísl @@o jedn @@a je u @@drž @@e @@t s @@e v t @@ě @@ch trž @@n @@ích kategor @@i @@ích , kd @@e js @@me .
Tatra by měla zůstat typem vozidla , jakým je .	Tatr @@a by m @@ě @@l @@a zů @@sta @@t typ @@em voz @@i @@dl @@a , jak @@ý @@m je .
Velmi výkonným vozem pro provoz mimo silnice .	Velmi vý @@kon @@n @@ým voz @@e @@m pro pro @@voz mimo sil @@n @@ic @@e .
Zde není možný žádný kompromis .	Zd @@e není mož @@n @@ý žád @@n @@ý kom @@promis .
A vedle toho by měla hledat možnosti , jak rozšířit uplatnění i pro jiné podmínky .	A ve @@dl @@e t @@o @@ho by m @@ě @@l @@a hled @@a @@t mož @@n @@ost @@i , jak roz @@šíř @@i @@t u @@plat @@n @@ěn @@í i pro jin @@é pod @@mín @@k @@y .
* A co osobní auta ?	* A c @@o osob @@n @@í aut @@a ?
Už jste si vyjasnili jejich další budoucnost ?	Už js @@te s @@i vy @@jas @@n @@i @@l @@i je @@j @@i @@ch dal @@š @@í bud @@ou @@c @@n @@ost ?
Dosud _ ne , k tomu by mělo dojít během několika měsíců .	Do @@s @@ud _ ne , k t @@o @@mu by m @@ě @@l @@o do @@jí @@t běh @@em ně @@kolik @@a měsíc @@ů .
Potřebujeme mít automobil , který lze prodávat ve větších počtech , aby se jeho výroba vyplatila .	Po @@třeb @@uje @@me m @@í @@t auto @@mobil , kter @@ý lze pro @@d @@á @@v @@a @@t ve vět @@š @@í @@ch po @@čt @@ech , aby s @@e je @@ho vý @@rob @@a vy @@plat @@i @@l @@a .
To by vyžadovalo mimo jiné velké investice .	T @@o by vy @@žad @@ova @@l @@o mimo jin @@é vel @@k @@é in @@vest @@ic @@e .
* Z vaší odpovědi spíš vyplývá , že výroba osobních automobilů v Kopřivnici , respektive v Příboře nemá velkou perspektivu .	* Z v @@a @@š @@í od @@po @@věd @@i spíš vy @@plý @@v @@á , že vý @@rob @@a o @@s @@ob @@n @@í @@ch auto @@mobil @@ů v Kopřiv @@n @@ic @@i , respektive v Pří @@boř @@e ne @@m @@á vel @@k @@ou per @@spekt @@iv @@u .
To netvrdím .	T @@o ne @@tvrd @@í @@m .
Můžeme zatím uskutečnit modernizaci , najít druhý výrobek a časem při zlepšení cash flow uvažovat o zavedení výroby .	Můž @@e @@me za @@t @@ím u @@s @@kut @@eč @@n @@i @@t modern @@iz @@ac @@i , na @@j @@í @@t druh @@ý vý @@rob @@ek a čas @@e @@m při z @@lep @@š @@en @@í cash flow u @@važ @@ova @@t o za @@ved @@en @@í vý @@rob @@y .
Je opravdu předčasné dělat nějaké závěry .	Je o @@prav @@d @@u před @@čas @@n @@é děl @@a @@t ně @@jak @@é zá @@věr @@y .
* V čem je vaše situace v Tatře stejná a v čem se liší od situace , v níž jste se nacházel před lety u Chryslera ?	* V č @@e @@m je v @@a @@š @@e situ @@ac @@e v Tatř @@e stejn @@á a v č @@e @@m s @@e liš @@í od situ @@ac @@e , v níž js @@te s @@e na @@cház @@e @@l před let @@y u Chrysler @@a ?
Potíže obou společností byly podobné .	Po @@tíž @@e ob @@ou spol @@eč @@n @@ost @@í by @@l @@y po @@dob @@n @@é .
Přesto si myslím , že ve dvou věcech se dost lišily .	Přes @@t @@o s @@i mysl @@í @@m , že ve dv @@ou věc @@ech s @@e dost liš @@i @@l @@y .
Největším problémem Chrysleru bylo , že mu scházel přiměřený nový výrobek .	Nej @@vět @@š @@ím problém @@e @@m Chrysler @@u by @@l @@o , že mu s @@cház @@e @@l při @@měř @@en @@ý nov @@ý vý @@rob @@ek .
Některé byly rozpracovány , ale k výrobě nebyl připraven žádný .	Ně @@kter @@é by @@l @@y roz @@prac @@ová @@n @@y , ale k vý @@rob @@ě ne @@by @@l při @@prav @@en žád @@n @@ý .
Naproti tomu Tatra má velmi dobrý výrobek .	Na @@proti t @@o @@mu Tatr @@a m @@á velmi dobr @@ý vý @@rob @@ek .
Druhý rozdíl spočíval v tom , že společnost Chrysler byla podstatně větší než Tatra .	Druh @@ý roz @@díl s @@počí @@v @@a @@l v t @@o @@m , že společ @@n @@ost Chrysler by @@l @@a pod @@stat @@n @@ě vět @@š @@í než Tatr @@a .
Je snazší učit nové techniky managementu ke zlepšení operací v Tatře , protože tam je méně lidí a méně těchto operací .	Je snaz @@š @@í uč @@i @@t nov @@é techn @@ik @@y manage @@ment @@u ke z @@lep @@š @@en @@í oper @@ac @@í v Tatř @@e , pro @@t @@o @@že tam je mén @@ě lid @@í a mén @@ě t @@ě @@ch @@t @@o oper @@ac @@í .
* V čem se po více než půl roku působení v Tatře splnila vaše očekávání _ a v čem ne ?	* V č @@e @@m s @@e po více než půl rok @@u pů @@sob @@en @@í v Tatř @@e s @@pln @@i @@l @@a v @@a @@š @@e o @@ček @@á @@v @@á @@n @@í _ a v č @@e @@m ne ?
Splnila se v tom , že výrobek je přinejmenším tak dobrý , jak jsem očekával .	S @@pln @@i @@l @@a s @@e v t @@o @@m , že vý @@rob @@ek je při @@nej @@men @@š @@ím tak dobr @@ý , jak js @@em o @@ček @@á @@v @@a @@l .
Naproti tomu věděl jsem , že marketingové a prodejní schopnosti Tatry jsou problematické .	Na @@proti t @@o @@mu v @@ěd @@ě @@l js @@em , že market @@ing @@ov @@é a pro @@d @@ej @@n @@í s @@chop @@n @@ost @@i Tatr @@y js @@ou problem @@at @@ic @@k @@é .
Ale ukázalo se , že je to ještě horší , že právě zde je největší slabina firmy .	Ale u @@káz @@a @@l @@o s @@e , že je t @@o ještě hor @@š @@í , že práv @@ě zd @@e je nej @@vět @@š @@í slab @@in @@a firm @@y .
